dispnum3,statea,stateb,year,hiact,hostlev,outcome,fatality
61,2,365,1962,13,4,4,0
61,2,40,1962,13,4,4,0
61,365,2,1962,16,4,4,0
61,40,2,1962,16,4,4,0
92,220,481,1964,17,4,1,2
92,481,220,1964,17,4,1,2
172,710,713,1962,16,4,5,NA
172,710,2,1962,16,4,5,NA
172,713,710,1962,16,4,5,NA
172,2,710,1962,12,3,5,NA
343,710,365,1966,17,4,5,1
343,365,710,1966,17,4,5,1
345,365,666,1967,1,2,5,0
345,365,2,1967,1,2,5,0
345,666,365,1967,0,1,5,0
345,2,365,1967,7,3,5,0
346,290,315,1968,14,4,1,0
346,365,315,1968,14,4,1,0
346,310,315,1968,14,4,1,0
346,265,315,1968,14,4,1,0
346,355,315,1968,14,4,1,0
346,315,290,1968,0,1,1,0
346,315,365,1968,0,1,1,0
346,315,310,1968,0,1,1,0
346,315,265,1968,0,1,1,0
346,315,355,1968,0,1,1,0
347,731,2,1968,15,4,7,0
347,2,731,1968,10,3,7,0
349,710,365,1969,17,4,5,3
349,365,710,1969,17,4,5,3
350,135,2,1969,15,4,7,0
350,2,135,1969,0,1,7,0
352,710,775,1969,17,4,5,NA
352,775,710,1969,17,4,5,NA
353,666,652,1973,0,1,5,0
353,2,651,1973,8,3,5,0
353,666,365,1973,0,1,5,0
353,2,652,1973,8,3,5,0
353,666,651,1973,0,1,5,0
353,2,365,1973,8,3,5,0
353,652,666,1973,0,1,5,0
353,651,2,1973,0,1,5,0
353,365,666,1973,8,3,5,0
353,652,2,1973,0,1,5,0
353,651,666,1973,0,1,5,0
353,365,2,1973,8,3,5,0
354,395,200,1972,16,4,1,1
354,200,395,1972,16,4,1,1
355,817,710,1974,17,4,2,NA
355,710,817,1974,17,4,2,NA
356,811,2,1975,15,4,7,NA
356,2,811,1975,16,4,7,NA
358,710,750,1975,17,4,5,1
358,750,710,1975,17,4,5,1
360,90,200,1975,7,3,6,0
360,200,90,1975,7,3,6,0
361,520,220,1976,17,4,5,1
361,220,520,1976,17,4,5,1
362,731,2,1976,17,4,5,1
362,731,732,1976,17,4,5,1
362,2,731,1976,17,4,5,1
362,732,731,1976,17,4,5,1
363,160,200,1976,16,4,5,0
363,200,160,1976,0,1,5,0
364,710,365,1974,15,4,7,0
364,365,710,1974,0,1,7,0
365,365,740,1976,0,0,5,0
365,740,365,1976,15,4,5,0
602,130,2,1972,15,4,7,0
602,2,130,1972,0,1,7,0
610,678,200,1962,16,4,5,NA
610,200,678,1962,16,4,5,NA
611,920,710,1965,16,4,NA,NA
611,900,365,1964,20,5,NA,NA
611,732,816,1965,20,5,NA,NA
611,2,710,1964,20,5,NA,NA
611,817,365,1964,20,5,2,6
611,800,816,1967,20,5,NA,NA
611,840,710,1966,20,5,NA,NA
611,811,365,1970,20,5,NA,NA
611,920,816,1965,16,4,NA,NA
611,900,710,1964,20,5,NA,NA
611,732,365,1965,20,5,NA,NA
611,2,816,1964,20,5,NA,NA
611,817,710,1964,20,5,2,6
611,800,365,1967,20,5,NA,NA
611,840,816,1966,20,5,NA,NA
611,811,710,1970,20,5,NA,NA
611,920,365,1965,16,4,NA,NA
611,900,816,1964,20,5,NA,NA
611,732,710,1965,20,5,NA,NA
611,2,365,1964,20,5,NA,NA
611,817,816,1964,20,5,2,6
611,800,710,1967,20,5,NA,NA
611,840,365,1966,20,5,NA,NA
611,811,816,1970,20,5,NA,NA
611,710,920,1964,1,2,NA,NA
611,365,900,1964,1,2,NA,NA
611,816,732,1964,20,5,2,6
611,710,2,1964,1,2,NA,NA
611,365,817,1964,1,2,NA,NA
611,816,800,1964,20,5,2,6
611,710,840,1964,1,2,NA,NA
611,365,811,1964,1,2,NA,NA
611,816,920,1964,20,5,2,6
611,710,900,1964,1,2,NA,NA
611,365,732,1964,1,2,NA,NA
611,816,2,1964,20,5,2,6
611,710,817,1964,1,2,NA,NA
611,365,800,1964,1,2,NA,NA
611,816,840,1964,20,5,2,6
611,710,811,1964,1,2,NA,NA
611,365,920,1964,1,2,NA,NA
611,816,900,1964,20,5,2,6
611,710,732,1964,1,2,NA,NA
611,365,2,1964,1,2,NA,NA
611,816,817,1964,20,5,2,6
611,710,800,1964,1,2,NA,NA
611,365,840,1964,1,2,NA,NA
611,816,811,1964,20,5,2,6
619,395,200,1975,16,4,1,0
619,200,395,1975,16,4,1,0
623,750,710,1964,16,4,5,3
623,710,750,1964,14,4,5,3
624,220,140,1963,7,3,5,0
624,140,220,1963,8,3,5,0
1002,41,200,1963,16,4,5,0
1002,41,2,1963,16,4,5,0
1002,41,20,1963,16,4,5,0
1002,41,42,1963,16,4,5,0
1002,200,41,1963,7,3,5,0
1002,2,41,1963,7,3,5,0
1002,20,41,1963,7,3,5,0
1002,42,41,1963,8,3,5,0
1017,666,660,1965,16,4,5,0
1017,660,666,1965,0,1,5,0
1018,663,666,1962,17,4,5,1
1018,666,663,1962,17,4,5,1
1019,663,666,1963,17,4,5,1
1019,666,663,1963,17,4,5,1
1035,690,666,1967,10,3,NA,NA
1035,670,666,1967,16,4,NA,NA
1035,645,666,1967,16,4,NA,NA
1035,651,666,1967,20,5,NA,NA
1035,652,666,1966,20,5,2,6
1035,663,666,1967,20,5,NA,NA
1035,666,690,1966,20,5,2,6
1035,666,670,1966,20,5,2,6
1035,666,645,1966,20,5,2,6
1035,666,651,1966,20,5,2,6
1035,666,652,1966,20,5,2,6
1035,666,663,1966,20,5,2,6
1039,365,200,1970,7,3,5,3
1039,645,2,1970,11,3,5,3
1039,652,663,1970,17,4,5,3
1039,365,666,1970,7,3,5,3
1039,645,200,1970,11,3,5,3
1039,652,2,1970,17,4,5,3
1039,365,663,1970,7,3,5,3
1039,645,666,1970,11,3,5,3
1039,652,200,1970,17,4,5,3
1039,365,2,1970,7,3,5,3
1039,645,663,1970,11,3,5,3
1039,652,666,1970,17,4,5,3
1039,200,365,1970,8,3,5,3
1039,2,645,1970,8,3,5,3
1039,663,652,1970,17,4,5,3
1039,666,365,1970,10,3,5,3
1039,200,645,1970,8,3,5,3
1039,2,652,1970,8,3,5,3
1039,663,365,1970,17,4,5,3
1039,666,645,1970,10,3,5,3
1039,200,652,1970,8,3,5,3
1039,2,365,1970,8,3,5,3
1039,663,645,1970,17,4,5,3
1039,666,652,1970,10,3,5,3
1043,666,620,1973,16,4,5,0
1043,620,666,1973,0,1,5,0
1046,663,666,1971,20,5,5,6
1046,670,666,1973,20,5,NA,NA
1046,645,666,1973,20,5,NA,NA
1046,651,666,1971,20,5,5,6
1046,652,666,1971,20,5,5,6
1046,666,663,1971,20,5,5,6
1046,666,670,1971,20,5,5,6
1046,666,645,1971,20,5,5,6
1046,666,651,1971,20,5,5,6
1046,666,652,1971,20,5,5,6
1051,666,660,1968,16,4,5,NA
1051,660,666,1968,16,4,5,NA
1061,666,660,1974,17,4,5,NA
1061,666,651,1974,17,4,5,NA
1061,660,666,1974,17,4,5,NA
1061,651,666,1974,1,2,NA,NA
1067,666,663,1967,17,4,5,3
1067,663,666,1967,17,4,5,3
1068,666,615,1970,15,4,7,0
1068,615,666,1970,0,1,7,0
1069,615,666,1968,15,4,7,0
1069,666,615,1968,0,1,7,0
1070,850,200,1963,17,4,5,4
1070,850,900,1963,17,4,5,4
1070,850,820,1963,17,4,5,4
1070,200,850,1963,17,4,5,4
1070,900,850,1963,16,4,5,4
1070,820,850,1963,17,4,5,4
1072,820,840,1968,8,3,5,NA
1072,840,820,1968,7,3,5,NA
1081,652,663,1971,17,4,5,NA
1081,663,652,1971,17,4,5,NA
1083,600,615,1962,17,4,5,3
1083,615,600,1962,17,4,5,3
1084,600,615,1963,17,4,5,3
1084,615,600,1963,17,4,5,3
1102,160,155,1963,7,3,5,0
1102,155,160,1963,0,1,5,0
1104,680,698,1972,16,4,5,NA
1104,698,680,1972,16,4,5,NA
1105,680,698,1973,16,4,5,NA
1105,698,680,1973,0,1,5,NA
1106,680,698,1975,17,4,3,NA
1106,698,680,1975,17,4,3,NA
1107,678,680,1971,16,4,6,NA
1107,680,678,1971,16,4,6,NA
1108,670,651,1962,17,4,5,NA
1108,663,678,1962,17,4,NA,NA
1108,2,651,1962,7,3,NA,NA
1108,670,678,1962,17,4,5,NA
1108,663,651,1962,17,4,NA,NA
1108,2,678,1962,7,3,NA,NA
1108,651,670,1962,17,4,5,NA
1108,678,663,1962,17,4,5,NA
1108,651,2,1962,17,4,5,NA
1108,678,670,1962,17,4,5,NA
1108,651,663,1962,17,4,5,NA
1108,678,2,1962,17,4,5,NA
1109,678,670,1966,1,2,5,NA
1109,651,670,1966,16,4,5,NA
1109,670,678,1966,0,1,5,NA
1109,670,651,1966,0,1,5,NA
1110,680,670,1969,16,4,5,1
1110,670,680,1969,16,4,5,1
1115,40,101,1967,17,4,5,1
1115,101,40,1967,17,4,5,1
1118,600,230,1972,15,4,5,NA
1118,230,600,1972,7,3,5,NA
1119,600,230,1973,15,4,6,NA
1119,230,600,1973,17,4,6,NA
1123,645,640,1962,16,4,5,1
1123,640,645,1962,16,4,5,1
1135,630,645,1971,17,4,5,1
1135,645,630,1971,17,4,5,1
1136,645,630,1969,16,4,5,0
1136,630,645,1969,8,3,5,0
1158,130,2,1971,15,4,7,0
1158,2,130,1971,0,1,7,0
1166,101,110,1966,14,4,6,0
1166,110,101,1966,0,1,6,0
1172,160,165,1969,14,4,5,0
1172,165,160,1969,0,1,5,0
1189,140,110,1975,12,3,5,0
1189,110,140,1975,0,1,5,0
1190,91,92,1976,17,4,6,0
1190,92,91,1976,17,4,6,0
1191,155,135,1976,17,4,5,NA
1191,135,155,1976,17,4,5,NA
1200,770,645,1973,15,4,5,0
1200,645,770,1973,0,1,5,0
1206,92,91,1969,20,5,5,6
1206,91,92,1969,20,5,5,6
1209,150,160,1962,17,4,5,1
1209,160,150,1962,17,4,5,1
1213,817,811,1964,16,4,5,NA
1213,2,811,1964,16,4,NA,NA
1213,811,817,1964,17,4,5,NA
1213,811,2,1964,17,4,5,NA
1216,710,817,1965,1,2,5,0
1216,811,800,1965,7,3,5,0
1216,710,2,1965,1,2,5,0
1216,811,817,1965,7,3,5,0
1216,710,800,1965,1,2,5,0
1216,811,2,1965,7,3,5,0
1216,817,710,1965,12,3,5,0
1216,800,811,1965,12,3,5,0
1216,2,710,1965,16,4,5,0
1216,817,811,1965,12,3,5,0
1216,800,710,1965,12,3,5,0
1216,2,811,1965,16,4,5,0
1217,732,811,1967,16,4,5,NA
1217,817,811,1967,16,4,5,NA
1217,2,811,1967,16,4,5,NA
1217,811,732,1967,17,4,5,NA
1217,811,817,1967,17,4,5,NA
1217,811,2,1967,17,4,5,NA
1228,800,811,1962,17,4,5,1
1228,811,800,1962,17,4,5,1
1229,811,800,1964,17,4,4,3
1229,800,811,1964,17,4,4,3
1230,800,811,1967,14,4,5,0
1230,811,800,1967,0,1,5,0
1231,811,800,1975,17,4,5,2
1231,800,811,1975,17,4,5,2
1232,800,811,1976,17,4,5,5
1232,800,816,1976,17,4,5,5
1232,811,800,1976,17,4,5,5
1232,816,800,1980,17,4,NA,NA
1279,640,350,1963,17,4,5,2
1279,350,640,1963,17,4,5,2
1280,640,350,1967,7,3,6,0
1280,640,352,1967,7,3,6,0
1280,350,640,1967,0,1,6,0
1280,352,640,1967,0,1,6,0
1289,640,350,1976,7,3,5,0
1289,350,640,1976,8,3,5,0
1290,350,640,1975,1,2,5,0
1290,640,350,1975,0,1,5,0
1292,640,350,1974,7,3,5,0
1292,350,640,1974,8,3,5,0
1293,640,350,1974,20,5,1,6
1293,640,352,1974,20,5,1,6
1293,350,640,1974,10,3,1,6
1293,352,640,1974,20,5,1,6
1310,770,750,1962,17,4,5,1
1310,750,770,1962,17,4,5,1
1312,770,750,1964,20,5,5,6
1312,750,770,1964,20,5,5,6
1317,770,750,1963,14,4,6,0
1317,750,770,1963,0,1,6,0
1319,490,500,1965,14,4,5,NA
