seller.a,seller.b,competition
ABW,AFG,0.01673526777863946
ABW,AIA,0.1270811933786612
ABW,ALB,0.003746924762245156
ABW,AND,0.03053875952251414
ABW,ARE,0.024672634708984894
ABW,ARG,0.015054151825508
ABW,ARM,0.004705859642227542
ABW,ASM,-0.03627013367741842
ABW,ATA,-0.01810450986313655
ABW,ATG,-0.0013897128930508468
ABW,AUS,0.16444214059091372
ABW,AUT,0.011670355754170313
ABW,AZE,-0.0046474771953606085
ABW,BDI,-0.011911046683636833
ABW,BEL,0.03201565985523129
ABW,BEN,0.12470525781856295
ABW,BFA,0.10603026182530424
ABW,BGD,-0.002566019286994437
ABW,BGR,0.01016627684224066
ABW,BHR,0.009798427373816544
ABW,BHS,0.3932836462927907
ABW,BIH,-0.008560018823114196
ABW,BLR,3.421168448518807e-4
ABW,BLZ,0.9790818527593743
ABW,BMU,0.09217730142654058
ABW,BOL,0.15363934978929875
ABW,BRA,0.1473003460650637
ABW,BRB,0.18764224882181135
ABW,BRN,0.010740024334422539
ABW,BTN,-0.009629712231064727
ABW,BWA,-0.01091300264621409
ABW,CAF,-0.0050599359730834036
ABW,CAN,0.20620243273160133
ABW,CCK,0.04526338488176148
ABW,CHE,0.044763671039379116
ABW,CHL,0.07332352600329196
ABW,CHN,-7.094378173144528e-4
ABW,CIV,0.01739336202245511
ABW,CMR,0.002479305647228003
ABW,COG,0.09290879145190042
ABW,COK,-0.005072516564320127
ABW,COL,0.11139775906359309
ABW,COM,-0.015005780584420971
ABW,CPV,0.018967003050037894
ABW,CRI,0.10386820630144482
ABW,CUB,-0.0010670001532073015
ABW,CUW,0.050149132095628234
ABW,CXR,0.09529640181806685
ABW,CYM,0.004938398851787914
ABW,CYP,0.012012009006476981
ABW,CZE,0.0031496494429371475
ABW,DEU,0.08319160909688277
ABW,DJI,0.9924507761431443
ABW,DMA,0.013472556272004188
ABW,DNK,0.032089175247029596
ABW,DOM,0.03212886193414746
ABW,DZA,0.004975408502403536
ABW,ECU,0.15016111064334148
ABW,EGY,0.007161178553070372
ABW,ERI,0.0361511424962791
ABW,ESP,0.022306872554167138
ABW,EST,0.0014783750483944287
ABW,ETH,0.050068938622364466
ABW,FIN,0.02062277079462854
ABW,FJI,0.024541824270431885
ABW,FLK,-0.005997458706773041
ABW,FRA,0.08772491129675723
ABW,GAB,-0.006883355780599233
ABW,GBR,0.13828894709881778
ABW,GEO,0.0074688610535511785
ABW,GHA,-0.002247427848404325
ABW,GIB,-0.010476450494841706
ABW,GIN,0.17003553745121897
ABW,GMB,0.02967246171244529
ABW,GNB,0.03813677254661004
ABW,GNQ,-0.010932173967039832
ABW,GRC,0.020427799890967685
ABW,GRD,0.06651727909632503
ABW,GRL,-0.0036045960224843757
ABW,GTM,0.018139148593303032
ABW,GUY,0.11702377787741948
ABW,HKG,0.11767947807650647
ABW,HND,0.02118978499666856
ABW,HRV,-0.004669838354702027
ABW,HTI,-4.802966531375271e-4
ABW,HUN,0.018018653495273023
ABW,IDN,-0.0014760538076437563
ABW,IND,0.01409899373418757
ABW,IOT,0.2605865680063839
ABW,IRL,0.08700800989861396
ABW,IRN,-0.004777294970391325
ABW,IRQ,-0.008192428977555491
ABW,ISL,0.073735008463793425
ABW,ISR,0.03235430555797514
ABW,ITA,0.045802443335898974
ABW,JAM,0.7655983703328513
ABW,JOR,0.01782585159450617
ABW,JPN,0.037206545750337015
ABW,KAZ,-0.0038976863117920406
ABW,KEN,0.02523732182657064
ABW,KGZ,0.10643213485467473
ABW,KHM,-0.003223907045675726
ABW,KNA,0.4554663507606905
ABW,KOR,0.02317319437773714
ABW,KWT,0.008891360661043603
ABW,LAO,-0.010004882745167303
ABW,LBN,0.025778638732278845
ABW,LBR,-0.015490067079869128
ABW,LBY,-0.009204106614697035
ABW,LCA,0.9457243857126827
ABW,LKA,-0.005095775436746157
ABW,LSO,-0.01660291619494323
ABW,LTU,0.04057418180608319
ABW,LUX,0.06341958950164255
ABW,LVA,0.007266345044776285
ABW,MAC,0.1372759153089999
ABW,MAR,-0.005060241725135678
ABW,MDA,-0.004897745377770878
ABW,MDG,-0.011980736828573464
ABW,MDV,0.11602547327684756
ABW,MEX,0.04390008316796535
ABW,MHL,0.010100419690223216
ABW,MKD,-0.00833311160464774
ABW,MLI,0.0463944735124373
ABW,MLT,-3.665328643754809e-4
ABW,MMR,-0.009680917114964466
ABW,MNG,0.002280991798095849
