country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
USA,Fm USSR,0.10934700689102106,0.09679938704390344,365,2,1962,61,1962,16,Use of force,4,0,0,1,1,0.10459782780912755,0.05488720323277075,-0.004749179081893512,-0.04191218381113269
USA,Cuba,-4.2241110997250776e-5,0.024488409675515445,40,2,1962,61,1962,16,Use of force,4,0,0,1,1,7.253750184858552e-5,0.03235927150098854,1.1477861284583628e-4,0.007870861825473092
Niger,Benin,0.3077716162728875,0.7177652350232545,434,436,1963,1407,1964,13,Use of force,3,0,0,1,1,0.019728615345915478,0.8520711872470734,-0.28804300092697205,0.13430595222381891
"France,Monac",Gabon,0.006926139875756792,0.06429167211918803,481,220,1964,92,1964,17,Use of force,1,2,0,1,1,0.0061360784868900835,0.05123893421433819,-7.900613888667087e-4,-0.013052737904849836
Cambodia,Thailand,0.3823767818280309,0.41636035372040475,800,811,1964,1229,1966,17,Use of force,4,3,0,1,1,0.391640082304721,0.24812211719623728,0.009263300476690106,-0.16823823652416747
China,Viet Nam,0.08161070106327864,0.01078359420397153,817,710,1964,611,1975,20,War,2,6,0,1,1,0.0747107002030134,0.23786265254172037,-0.006900000860265237,0.22707905833774883
Fm USSR,Viet Nam,0.08448113349483538,0.011127733124006889,817,365,1964,611,1975,20,War,2,6,0,1,1,0.09170512732817959,0.07992326792673671,0.007223993833344211,0.06879553480272982
Ghana,Guinea,0.052048739037616434,0.2690747886076734,438,452,1966,1351,1966,17,Use of force,3,1,0,1,1,0.00506065670814386,0.0760309352272742,-0.046988082329472575,-0.19304385338039923
Israel,Syria,9.368582943321881e-4,0.13217243726448247,652,666,1966,1035,1967,20,War,2,6,0,1,1,0.0017984945128576642,0.041516537707520604,8.616362185254761e-4,-0.09065589955696186
UK,Portugal,0.025047387118018488,0.18645194231773168,235,200,1966,3135,1966,0,No militarized action,4,0,0,1,1,0.044566338111455425,0.15772614068828877,0.019518950993436937,-0.02872580162944291
