country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Togo,Ghana,0.1732941064640168,0.4332086917567935,452,461,1962,1418,1962,11,Display of force,5,0,0,0,1,0.17469291297777412,0.43683455550505257,0.001398806513757317,0.0036258637482590728
USA,Peru,0.04757806081616456,0.0831270820552446,135,2,1962,3244,1962,15,Use of force,7,0,0,0,1,0.05040120176952472,0.06628448260664117,0.0028231409533601634,-0.016842599448603432
USA,Egypt,0.09187059423625,0.019089624434793114,651,2,1962,1108,1963,17,Use of force,5,NA,0,0,1,0.13219730711572067,0.022945778184244568,0.040326712879470664,0.0038561537494514533
USA,China,0.06338967130801014,0.01595479178810264,710,2,1962,172,1962,16,Use of force,5,NA,0,0,1,0.07705075157144858,0.007012417395959506,0.013661080263438444,-0.008942374392143137
USA,Korea D P Rp,0.040581103226299674,0.011528485963246876,731,2,1962,2188,1964,17,Use of force,5,1,0,0,1,0.024895440531097466,0.009396730730295275,-0.015685662695202208,-0.0021317552329516015
Argentina,Paraguay,0.15797670698948094,0.16884849734132334,150,160,1962,1209,1962,17,Use of force,5,1,0,0,1,0.17091209277614225,0.13737590511171516,0.012935385786661313,-0.03147259222960819
Peru,USA,0.04757806081616456,0.0831270820552446,2,135,1962,3244,1962,0,No militarized action,7,0,0,0,1,0.05040120176952472,0.06628448260664117,0.0028231409533601634,-0.016842599448603432
Israel,Jordan,0.01472569515057082,0.10594384590027069,663,666,1962,1018,1962,17,Use of force,5,1,0,0,1,0.006337427434342725,0.1503412665262222,-0.008388267716228096,0.04439742062595152
Japan,Fm USSR,0.017830765565445116,0.08792512677139909,365,740,1962,2888,1962,15,Use of force,5,0,0,0,1,0.018113835522376828,0.21485577239748238,2.8306995693171133e-4,0.1269306456260833
Turkey,Syria,0.041676930030593924,0.3723063307910554,652,640,1962,3165,1962,17,Use of force,5,1,0,0,1,0.06871301287930012,0.11615659737877691,0.0270360828487062,-0.2561497334122785
Turkey,Fm USSR,0.03807179914656211,0.09607362176339564,365,640,1962,3163,1962,16,Use of force,5,0,0,0,1,0.03197627940862229,0.05952275222297468,-0.006095519737939821,-0.03655086954042096
Turkey,Iraq,0.001307457530933733,0.13017584080869848,645,640,1962,1123,1962,16,Use of force,5,1,0,0,1,0.0025806819997062623,0.0678818291567804,0.0012732244687725294,-0.062294011651918085
