Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,15856574731.4411,17804280538.1102,20001615788.6719,20561054090.3995,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,11926953213.6961,12890866742.6533,12319784886.2038,12776280961.155,13228247844.1247,11386931489.7968,11861352704.87,13025062195.7906
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165979277276.907,160129866569.935,167555280113.181
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,576000000,574000000,644000000,641000000,643000000,661000000,653000000,634000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3013387423.93509
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1152469074.07407,1142042925.92593,1211411703.7037,1192919629.62963,1275576777.77778,1359194740.74074,1464630213.33333,1510084750.74074
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,642695864756.35
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11527458565.7334
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2390502793.29609,2549720670.39106,2534636871.50838,2581564245.81006,2649720670.39106,2691620111.73184,2646927374.30168,2700558659.21788
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351520093185.79,1210028388411.7,1330803227996.08
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381805676697.707,394052818287.788,416835975862.194
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074468085.1064,37867518957.1975,40865558912.3867
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32250132978.7234,35432686170.2128
