country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Fm USSR,USA,0.10934700689102106,0.09679938704390344,2,365,1962,61,1962,13,Use of force,4,0,1,0,1,0.10459782780912755,0.05488720323277075,-0.004749179081893512,-0.04191218381113269
Cuba,USA,-4.2241110997250776e-5,0.024488409675515445,2,40,1962,61,1962,13,Use of force,4,0,1,0,1,7.253750184858552e-5,0.03235927150098854,1.1477861284583628e-4,0.007870861825473092
Benin,Niger,0.3077716162728875,0.7177652350232545,436,434,1963,1407,1964,0,No militarized action,3,0,1,0,1,0.019728615345915478,0.8520711872470734,-0.28804300092697205,0.13430595222381891
Gabon,"France,Monac",0.006926139875756792,0.06429167211918803,220,481,1964,92,1964,17,Use of force,1,2,1,0,1,0.0061360784868900835,0.05123893421433819,-7.900613888667087e-4,-0.013052737904849836
Thailand,Cambodia,0.3823767818280309,0.41636035372040475,811,800,1964,1229,1966,17,Use of force,4,3,1,0,1,0.391640082304721,0.24812211719623728,0.009263300476690106,-0.16823823652416747
Jordan,Israel,0.01062548883613716,0.07281934014015848,666,663,1966,1035,1967,20,War,2,6,1,0,1,0.006521484207819871,0.06224136702130335,-0.004104004628317289,-0.010577973118855132
Portugal,UK,0.025047387118018488,0.18645194231773168,200,235,1966,3135,1966,7,Display of force,4,0,1,0,1,0.044566338111455425,0.15772614068828877,0.019518950993436937,-0.02872580162944291
Guinea,Ghana,0.052048739037616434,0.2690747886076734,452,438,1966,1351,1966,0,No militarized action,3,1,1,0,1,0.00506065670814386,0.0760309352272742,-0.046988082329472575,-0.19304385338039923
Guinea,Cote Divoire,0.24570359427457153,0.2509508772782194,437,438,1966,1351,1966,17,Use of force,3,1,1,0,1,0.07608979631824833,0.13806548528807444,-0.1696137979563232,-0.11288539199014497
Syria,Israel,9.368582943321881e-4,0.13217243726448247,666,652,1966,1035,1967,20,War,2,6,1,0,1,0.0017984945128576642,0.041516537707520604,8.616362185254761e-4,-0.09065589955696186
