country.a,statea,year,endyear,dispnum3,hiact,hostlev,fatality,victor,pb.year,same.exp,outcome
USA,2,1962,1962,61,13,Use of force,0,1,1963,0.9136605906427832,Winner
Niger,436,1963,1964,1407,0,No militarized action,0,1,1964,0.9532758119643241,Winner
"France,Monac",220,1964,1964,92,17,Use of force,2,1,1965,0.9893404556498838,Winner
Cambodia,811,1964,1966,1229,17,Use of force,3,1,1966,0.8950539438022291,Winner
Israel,666,1966,1967,1035,20,War,6,1,1967,0.9825483841456952,Winner
UK,200,1966,1966,3135,7,Display of force,0,1,1967,0.9899634676476797,Winner
Ghana,452,1966,1966,1351,0,No militarized action,1,1,1967,0.8559099751699737,Winner
Cote Divoire,437,1966,1966,1351,17,Use of force,1,1,1967,0.9361368294012048,Winner
Bulgaria,355,1968,1968,346,14,Use of force,0,1,1969,0.843795703181673,Winner
German Democratic Republic,265,1968,1968,346,14,Use of force,0,1,1969,0.901456544876565,Winner
Hungary,310,1968,1968,346,14,Use of force,0,1,1969,0.9083012331307095,Winner
Poland,290,1968,1968,346,14,Use of force,0,1,1969,0.9105317760582328,Winner
Fm USSR,365,1968,1968,346,14,Use of force,0,1,1969,0.8855541864488452,Winner
Cambodia,811,1970,1970,1605,0,No militarized action,0,1,1971,0.6648470558851532,Winner
India,750,1971,1971,1447,20,War,6,1,1972,0.9074192396946344,Winner
Czechoslovakia,315,1971,1971,1718,7,Display of force,0,1,1972,0.8951602296725358,Winner
Hungary,310,1971,1971,1718,7,Display of force,0,1,1972,0.9107209836342585,Winner
Fm USSR,365,1971,1971,1718,7,Display of force,0,1,1972,0.7951626209074807,Winner
Kuwait,690,1972,1973,1612,17,Use of force,1,1,1973,0.929499675474787,Winner
Iceland,395,1972,1973,354,16,Use of force,1,1,1973,0.8074444791878652,Winner
Israel,666,1973,1974,3437,16,Use of force,NA,1,1974,0.8583025341002538,Winner
Burundi,516,1973,1973,1362,17,Use of force,NA,1,1974,0.5897818189699717,Winner
Turkey,640,1974,1974,1293,20,War,6,1,1975,0.9529670268087089,Winner
China,710,1974,1974,355,17,Use of force,NA,1,1975,0.9833948426234804,Winner
Iceland,395,1975,1976,619,16,Use of force,0,1,1976,0.9089208141861712,Winner
Libya,620,1977,1980,3631,17,Use of force,NA,1,1980,0.8959453612619815,Winner
Ethiopia,530,1977,1978,2069,20,War,6,1,1978,0.6321012985192129,Winner
Cuba,40,1977,1978,2069,20,War,6,1,1978,0.8002516112885127,Winner
Fm USSR,365,1978,1979,2223,1,Threat to use force,0,1,1979,0.642883547282168,Winner
Tanzania,510,1978,1979,2141,20,War,6,1,1979,0.734957039894916,Winner
Iran,630,1979,1988,2115,20,War,6,1,1988,0.26835341752954706,Winner
Malaysia,820,1980,1980,3117,7,Display of force,0,1,1981,0.9871631781096492,Winner
Dem.Rp.Congo,490,1980,1980,3121,7,Display of force,0,1,1981,0.83621612806546,Winner
Israel,666,1981,1981,3101,12,Display of force,NA,1,1982,0.9861586112587227,Winner
UK,200,1982,1982,3077,7,Display of force,0,1,1983,0.9760852411216993,Winner
UK,200,1982,1982,3630,20,War,6,1,1983,0.9760852411216993,Winner
Lebanon,660,1982,1985,3444,20,War,6,1,1985,0.4343620977717593,Winner
Israel,666,1983,1983,3384,0,No militarized action,0,1,1984,0.9438934236175723,Winner
USA,2,1983,1983,3058,14,Use of force,3,1,1984,0.9901429427622476,Winner
Barbados,53,1983,1983,3058,17,Use of force,3,1,1984,0.7680903124266144,Winner
Jamaica,51,1983,1983,3058,17,Use of force,3,1,1984,0.6658500310488472,Winner
